NO_OF_FRAMES	5823
NO_OF_CAMERAS	30
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
DATA_INCLUDED	3D
MARKER_NAMES	COM
TRAJECTORY_TYPES	Measured
Frame	Time	COM X	COM Y	COM Z	
622	2.07000	535.137	1529.755	896.720
623	2.07333	535.132	1529.812	896.644
624	2.07667	535.110	1529.855	896.614
625	2.08000	535.080	1529.842	896.639
626	2.08333	535.029	1529.876	896.631
627	2.08667	535.032	1529.817	896.590
628	2.09000	534.979	1529.878	896.599
629	2.09333	534.955	1529.922	896.563
630	2.09667	534.942	1529.883	896.559
631	2.10000	534.936	1529.929	896.498
632	2.10333	534.901	1529.915	896.420
633	2.10667	534.856	1529.915	896.400
634	2.11000	534.816	1529.891	896.335
635	2.11333	534.823	1529.908	896.273
636	2.11667	534.841	1529.959	896.202
637	2.12000	534.831	1529.971	896.137
638	2.12333	534.832	1529.941	895.999
639	2.12667	534.748	1530.013	895.867
640	2.13000	534.795	1530.006	895.747
641	2.13333	534.691	1529.980	895.564
642	2.13667	534.714	1530.012	895.441
643	2.14000	534.737	1530.057	895.283
644	2.14333	534.727	1530.028	895.157
645	2.14667	534.792	1530.103	895.002
646	2.15000	534.793	1530.107	894.851
647	2.15333	534.831	1530.110	894.715
648	2.15667	534.855	1530.144	894.596
649	2.16000	534.859	1530.157	894.465
650	2.16333	534.849	1530.206	894.382
651	2.16667	534.843	1530.161	894.301
652	2.17000	534.884	1530.190	894.197
653	2.17333	534.903	1530.237	894.145
654	2.17667	534.906	1530.209	894.137
655	2.18000	534.937	1530.219	894.101
656	2.18333	534.942	1530.214	894.132
657	2.18667	535.002	1530.201	894.146
658	2.19000	535.002	1530.192	894.196
659	2.19333	534.984	1530.184	894.212
660	2.19667	534.974	1530.183	894.226
661	2.20000	535.008	1530.194	894.204
662	2.20333	534.998	1530.160	894.302
663	2.20667	535.017	1530.188	894.329
664	2.21000	534.969	1530.185	894.335
665	2.21333	535.024	1530.133	894.423
666	2.21667	535.014	1530.089	894.445
667	2.22000	534.992	1530.088	894.467
668	2.22333	534.996	1530.076	894.515
669	2.22667	534.970	1530.082	894.500
670	2.23000	534.971	1530.040	894.509
671	2.23333	534.911	1530.034	894.514
672	2.23667	534.883	1530.038	894.510
673	2.24000	534.851	1529.993	894.529
674	2.24333	534.850	1529.967	894.599
675	2.24667	534.800	1529.944	894.558
676	2.25000	534.731	1529.904	894.553
677	2.25333	534.668	1529.864	894.533
678	2.25667	534.710	1529.856	894.557
679	2.26000	534.673	1529.791	894.531
680	2.26333	534.576	1529.792	894.494
681	2.26667	534.659	1529.749	894.512
682	2.27000	534.608	1529.690	894.461
683	2.27333	534.559	1529.687	894.435
684	2.27667	534.594	1529.661	894.405
685	2.28000	534.569	1529.582	894.421
686	2.28333	534.609	1529.582	894.415
687	2.28667	534.604	1529.482	894.416
688	2.29000	534.633	1529.465	894.343
689	2.29333	534.627	1529.435	894.296
690	2.29667	534.659	1529.366	894.317
691	2.30000	534.599	1529.319	894.321
692	2.30333	534.639	1529.232	894.282
693	2.30667	534.607	1529.196	894.264
694	2.31000	534.659	1529.128	894.250
695	2.31333	534.628	1529.059	894.237
696	2.31667	534.620	1528.981	894.277
697	2.32000	534.600	1528.868	894.289
698	2.32333	534.560	1528.822	894.325
699	2.32667	534.554	1528.718	894.329
700	2.33000	534.512	1528.714	894.304
701	2.33333	534.528	1528.665	894.332
702	2.33667	534.463	1528.559	894.348
703	2.34000	534.451	1528.518	894.347
704	2.34333	534.406	1528.421	894.413
705	2.34667	534.418	1528.391	894.397
706	2.35000	534.435	1528.347	894.415
707	2.35333	534.424	1528.272	894.410
708	2.35667	534.401	1528.198	894.432
709	2.36000	534.393	1528.137	894.383
710	2.36333	534.381	1528.100	894.397
711	2.36667	534.412	1528.062	894.413
712	2.37000	534.335	1527.998	894.490
713	2.37333	534.349	1527.937	894.471
714	2.37667	534.310	1527.896	894.471
715	2.38000	534.292	1527.817	894.483
716	2.38333	534.298	1527.760	894.558
717	2.38667	534.231	1527.690	894.525
718	2.39000	534.212	1527.681	894.536
719	2.39333	534.192	1527.616	894.496
720	2.39667	534.156	1527.571	894.519
721	2.40000	534.123	1527.531	894.495
722	2.40333	534.078	1527.445	894.524
723	2.40667	534.051	1527.415	894.494
724	2.41000	534.018	1527.380	894.472
725	2.41333	534.027	1527.311	894.440
726	2.41667	533.973	1527.271	894.434
727	2.42000	533.963	1527.189	894.474
728	2.42333	533.945	1527.123	894.422
729	2.42667	533.954	1527.090	894.404
730	2.43000	533.943	1527.050	894.417
731	2.43333	533.994	1526.983	894.397
732	2.43667	533.952	1526.878	894.387
733	2.44000	533.995	1526.794	894.418
734	2.44333	533.984	1526.731	894.396
735	2.44667	534.014	1526.661	894.404
736	2.45000	534.015	1526.585	894.432
737	2.45333	534.008	1526.522	894.395
738	2.45667	534.018	1526.407	894.423
739	2.46000	533.998	1526.381	894.387
740	2.46333	533.998	1526.317	894.331
741	2.46667	533.950	1526.226	894.402
742	2.47000	533.913	1526.087	894.386
743	2.47333	533.885	1526.046	894.396
744	2.47667	533.841	1525.949	894.334
